model,abalone9-18,yeast-0-2-5-6_vs_3-7-8-9,ecoli-0-1-4-6_vs_5,ecoli-0-2-3-4_vs_5,glass-0-1-6_vs_2,page-blocks-1-3_vs_4,winequality-red-3_vs_5,abalone19,shuttle-c2-vs-c4,yeast4,glass-0-4_vs_5,glass6,winequality-red-4,vehicle0,kr-vs-k-three_vs_eleven,ecoli1,winequality-white-3_vs_7,glass1,winequality-white-3-9_vs_5,vehicle3,ecoli-0-4-6_vs_5,shuttle-6_vs_2-3,yeast-1-2-8-9_vs_7,ecoli3,glass-0-1-6_vs_5,cleveland-0_vs_4,ecoli4,glass5,shuttle-c0-vs-c4,abalone-3_vs_11,vowel0,glass-0-6_vs_5,winequality-white-9_vs_4,winequality-red-8_vs_6-7,winequality-red-8_vs_6,glass2,wisconsinImb,glass-0-1-2-3_vs_4-5-6,ecoli-0-1-3-7_vs_2-6,glass4,kr-vs-k-zero-one_vs_draw,ecoli2,kr-vs-k-one_vs_fifteen,kr-vs-k-zero_vs_fifteen,ecoli-0-1-4-7_vs_2-3-5-6,ecoli-0-2-6-7_vs_3-5,ecoli-0-3-4-6_vs_5,abalone-19_vs_10-11-12-13,poker-9_vs_7,abalone-20_vs_8-9-10,ecoli-0-3-4-7_vs_5-6,page-blocks0,yeast3,segment0,ecoli-0-6-7_vs_3-5,glass-0-1-4-6_vs_2,ecoli-0-1_vs_2-3-5,poker-8-9_vs_6,kr-vs-k-zero_vs_eight,ecoli-0-3-4_vs_5
ISOF,0.7971014492753623,0.7588397790055248,0.8605769230769231,0.8445945945945946,0.657142857142857,0.8707865168539326,0.8576642335766423,0.7344189786891838,1.0,0.7310870947234583,0.7352941176470589,0.8648648648648649,0.5201529861724037,0.629423076923077,0.708875128998968,0.6899038461538461,0.8934659090909091,0.5092592592592593,0.6054794520547945,0.6094121955685772,0.7567567567567568,0.931818181818182,0.5434782608695653,0.7142857142857143,0.7571428571428571,1.0,0.80078125,0.8780487804878049,1.0,0.9965986394557824,0.9407407407407408,0.625,0.6060606060606061,0.7140718562874252,0.7109375,0.6858974358974359,0.9850187265917604,0.8977272727272727,0.9545454545454546,0.7,0.640391156462585,0.5757575757575758,0.9894630484988453,1.0,0.7258064516129032,0.935,0.7162162162162162,0.6392632524707996,0.8936170212765957,0.6750440917107583,0.7702127659574467,0.89647216974277,0.53099173553719,0.776591674318947,0.87,0.6621621621621621,0.9545454545454546,0.6575342465753424,0.7604895104895105,0.8055555555555556
ISOF_minmax,0.7842190016103059,0.8339779005524861,0.8653846153846154,0.8581081081081081,0.6499999999999999,0.7677902621722846,0.8832116788321168,0.8315239244069159,0.6458333333333333,0.6621106166560712,0.5294117647058824,0.945945945945946,0.526919682259488,0.575,0.708875128998968,0.5973557692307693,0.5852272727272727,0.5856481481481481,0.5472602739726027,0.6079472624061527,0.7702702702702703,0.9886363636363636,0.5163043478260869,0.6557377049180328,0.5714285714285714,1.0,0.74609375,0.7439024390243902,0.9456627680311892,0.9591836734693876,0.8808641975308642,0.525,0.5757575757575758,0.6811377245508983,0.681640625,0.6923076923076923,0.9850187265917604,0.7556818181818182,0.9636363636363636,0.6666666666666666,0.640391156462585,0.6666666666666667,0.9894630484988453,1.0,0.760752688172043,0.815,0.75,0.6491464510332434,0.8936170212765957,0.6790123456790124,0.8085106382978723,0.8713395582037495,0.5338613406795225,0.776744719926538,0.91,0.8040540540540541,0.9409090909090908,0.6575342465753424,0.7604895104895105,0.8472222222222222
ISOF_stand,0.7954911433172303,0.7828729281767957,0.8894230769230769,0.8783783783783784,0.6571428571428573,0.8689138576779026,0.8941605839416058,0.780659429030961,1.0,0.7415766052129689,0.7058823529411764,0.8558558558558559,0.5301559282141806,0.6580769230769231,0.7057791537667698,0.6802884615384616,0.8735795454545454,0.5092592592592593,0.5801369863013699,0.5733382164438747,0.7905405405405406,0.931818181818182,0.5181159420289855,0.7072599531615925,0.6857142857142857,1.0,0.83203125,0.8658536585365854,0.9998781676413256,1.0,0.9305555555555556,0.6,0.5454545454545454,0.7215568862275449,0.7109375,0.673076923076923,0.9850187265917604,0.8778409090909091,0.8454545454545455,0.6666666666666666,0.674404761904762,0.5917065390749601,0.9913394919168592,1.0,0.717741935483871,0.915,0.8175675675675675,0.6460017969451932,0.9042553191489362,0.7160493827160493,0.8425531914893617,0.9153375236157536,0.5449954086317723,0.7768212427303337,0.95,0.6756756756756757,0.9272727272727272,0.6383561643835617,0.763986013986014,0.7916666666666666
GMM,0.8542673107890499,0.6972375690607735,0.8221153846153846,0.8445945945945946,0.55,0.7078651685393258,0.9708029197080292,0.5454362685967029,1.0,0.7323585505403687,0.7941176470588235,0.8423423423423424,0.5016181229773463,0.535,0.7461300309597523,0.5456730769230769,0.9872159090909092,0.5740740740740741,0.6486301369863013,0.5162058231093206,0.7770270270270271,1.0,0.5579710144927537,0.639344262295082,0.7714285714285715,0.9583333333333334,0.765625,0.8414634146341463,0.9920808966861598,0.95578231292517,0.8447530864197531,0.8,0.5151515151515151,0.7604790419161677,0.734375,0.5641025641025641,0.9417134831460674,0.8551136363636364,0.9818181818181818,0.7833333333333333,0.6104591836734694,0.6076555023923444,0.9962471131639724,0.9553502694380293,0.8064516129032258,0.92,0.8310810810810811,0.5390835579514824,0.9680851063829788,0.705026455026455,0.7617021276595745,0.908498038075861,0.5550964187327823,0.7428833792470155,0.97,0.6486486486486487,0.8909090909090909,0.7527397260273972,0.7593240093240093,0.7708333333333333
GMM_minmax,0.8341384863123994,0.7734806629834254,0.7788461538461539,0.8986486486486487,0.5285714285714286,0.7921348314606742,0.9708029197080292,0.5581021310816244,0.5833333333333333,0.6719643992371265,0.8823529411764706,0.9774774774774776,0.5578111209179171,0.5886538461538462,0.6116615067079463,0.5552884615384615,0.5923295454545454,0.5763888888888888,0.5280821917808219,0.6923640358908625,0.912162162162162,0.7159090909090909,0.5706521739130435,0.6018735362997658,0.8857142857142857,0.9583333333333334,0.71484375,0.9268292682926828,0.8959551656920077,0.6666666666666667,0.7095679012345679,0.775,0.8484848484848485,0.6392215568862275,0.59375,0.5384615384615385,0.9344569288389512,0.6193181818181818,1.0,0.875,0.9422619047619047,0.6618819776714513,0.9813799076212472,1.0,0.5940860215053764,0.69,0.695945945945946,0.518418688230009,1.0,0.7160493827160495,0.6042553191489362,0.9008955820374944,0.5381083562901745,0.7312136516681971,0.705,0.8175675675675675,0.9,0.8472602739726027,0.8793706293706294,0.9236111111111112
GMM_stand,0.6030595813204509,0.7458563535911602,0.8076923076923077,0.8716216216216216,0.8714285714285714,0.8895131086142322,0.9562043795620438,0.5965018094089265,0.7708333333333333,0.8019707565162111,0.9411764705882352,0.8603603603603605,0.5125036775522213,0.6588461538461539,0.6342621259029928,0.6117788461538461,0.9857954545454546,0.6180555555555556,0.6273972602739726,0.5667460172129646,0.722972972972973,0.8068181818181819,0.7373188405797102,0.8313817330210773,0.8428571428571429,0.78125,0.859375,0.7804878048780488,0.9505360623781676,0.935374149659864,0.5922839506172839,0.65,0.5757575757575757,0.7589820359281437,0.740234375,0.641025641025641,0.8366104868913857,0.9289772727272728,0.9818181818181818,0.8083333333333333,0.8196428571428571,0.6156299840510366,0.5969976905311779,0.8267898383371824,0.5994623655913979,0.88,0.6486486486486487,0.7214734950584007,0.8723404255319149,0.5092592592592592,0.8425531914893617,0.8923030809475367,0.6936409550045913,0.5656948270584634,0.94,0.7432432432432432,0.85,0.7547945205479452,0.5833333333333333,0.75
BRM_euc,0.8800322061191627,0.6301104972375691,0.7980769230769231,0.8445945945945946,0.5071428571428571,0.8033707865168539,0.5547445255474452,0.631081624447125,1.0,0.6859504132231405,0.8823529411764706,0.7837837837837839,0.5483965872315386,0.6430769230769231,0.7662538699690402,0.6165865384615384,0.9545454545454546,0.5324074074074074,0.7897260273972603,0.6506134407617652,0.7972972972972973,0.9772727272727272,0.6240942028985508,0.5175644028103045,0.9,0.6354166666666667,0.765625,0.9878048780487804,0.7546905458089669,0.7414965986394557,0.557716049382716,0.875,0.8787878787878788,0.6706586826347305,0.685546875,0.6217948717948718,0.9707397003745318,0.8267045454545454,0.8909090909090909,0.875,0.7622448979591836,0.569377990430622,0.767681870669746,0.7401847575057736,0.706989247311828,0.86,0.7905405405405406,0.62848158131177,0.8936170212765957,0.9074074074074074,0.6851063829787234,0.5082745967155937,0.5340909090909092,0.7676767676767677,0.98,0.6418918918918919,0.7999999999999999,0.8452054794520547,0.6177156177156178,0.7152777777777778
BRM_euc_minmax,0.8663446054750403,0.7892265193370165,0.7259615384615384,0.8918918918918919,0.5714285714285714,0.7434456928838952,0.8868613138686132,0.5195014073180539,0.5208333333333334,0.6853146853146853,0.5588235294117647,0.8468468468468469,0.521329802883201,0.7561538461538462,0.8356037151702786,0.5552884615384616,0.6448863636363636,0.5416666666666666,0.5376712328767124,0.6608679728987364,0.7702702702702703,1.0,0.5652173913043479,0.5175644028103045,0.7714285714285714,0.9479166666666666,0.63671875,0.7195121951219512,0.6282894736842105,0.8469387755102041,0.6462962962962964,0.7250000000000001,0.7272727272727273,0.6182634730538923,0.73046875,0.6602564102564102,0.971441947565543,0.5255681818181819,1.0,0.5083333333333333,0.7710034013605442,0.7097288676236044,0.856379907621247,0.7548113933795227,0.532258064516129,0.69,0.7094594594594594,0.5462713387241689,0.9787234042553192,0.8928571428571429,0.5787234042553192,0.848350530446156,0.5345500459136823,0.7295301499846956,0.73,0.7770270270270271,0.7863636363636364,0.6945205479452055,0.6048951048951049,0.7152777777777778
BRM_euc_stand,0.8760064412238325,0.6370165745856354,0.8269230769230769,0.8445945945945946,0.6142857142857142,0.8314606741573034,0.8905109489051095,0.6248492159227985,1.0,0.6875397329942785,0.8529411764705882,0.8153153153153153,0.5925272138864371,0.5455769230769232,0.7647058823529411,0.576923076923077,0.9914772727272728,0.5046296296296297,0.7821917808219179,0.5746200329609962,0.7770270270270271,0.9772727272727272,0.5009057971014492,0.5199063231850116,0.8,0.9166666666666666,0.875,0.8658536585365854,0.7021198830409356,0.629251700680272,0.605246913580247,0.55,0.5757575757575758,0.6482035928143712,0.783203125,0.6538461538461539,0.975187265917603,0.7840909090909092,0.9818181818181818,0.8166666666666667,0.855187074829932,0.668261562998405,0.7803117782909931,0.9049268668206312,0.7258064516129032,0.82,0.7432432432432432,0.5610961365678346,0.9574468085106382,0.8928571428571429,0.8085106382978723,0.8584871384973114,0.5083792470156105,0.8231558004285278,0.96,0.5945945945945946,0.8136363636363636,0.7602739726027397,0.7185314685314685,0.6875
BRM_cos,0.9186795491143316,0.5651933701657459,0.6057692307692308,0.777027027027027,0.5,0.5992509363295879,0.9197080291970804,0.6328910333735425,1.0,0.6468531468531469,0.8823529411764706,0.7702702702702703,0.6540158870255957,0.6446153846153846,0.7911248710010319,0.6153846153846154,0.9446022727272728,0.5,0.673972602739726,0.520234389305988,0.5472972972972974,0.931818181818182,0.6250000000000001,0.7142857142857143,0.9142857142857144,0.6041666666666667,0.67578125,0.9878048780487804,0.6681286549707602,0.5680272108843537,0.5805555555555555,0.875,0.5151515151515151,0.6182634730538923,0.5078125,0.6217948717948718,0.7979868913857677,0.8181818181818181,0.9090909090909092,0.875,0.7439625850340136,0.6172248803827751,0.7358545034642032,0.8063895304080062,0.6559139784946237,0.6699999999999999,0.6621621621621622,0.5835579514824799,0.5212765957446809,0.832010582010582,0.548936170212766,0.6122747420433077,0.6213269054178144,0.5369987756351393,0.87,0.6148648648648649,0.6681818181818182,0.6308219178082192,0.6917249417249418,0.5555555555555556
BRM_cos_minmax,0.78743961352657,0.5842541436464088,0.6009615384615384,0.777027027027027,0.5071428571428571,0.7434456928838951,0.6861313868613139,0.5118616807398473,0.7708333333333334,0.5966306420851876,0.7352941176470589,0.6711711711711711,0.5454545454545454,0.5186538461538461,0.8134158926728586,0.6947115384615384,0.7045454545454546,0.6018518518518519,0.5102739726027398,0.542391503387658,0.7635135135135135,0.5568181818181819,0.5389492753623188,0.8243559718969555,0.6142857142857143,0.8958333333333334,0.52734375,0.8292682926829269,0.7894736842105263,0.8333333333333334,0.5305555555555554,0.8500000000000001,1.0,0.5553892215568862,0.69140625,0.7243589743589745,0.7059925093632959,0.5511363636363636,0.9545454545454546,0.8166666666666667,0.8521258503401361,0.7145135566188198,0.8374711316397229,0.7548113933795227,0.6155913978494623,0.625,0.5608108108108107,0.5417789757412399,0.7553191489361701,0.9285714285714286,0.6680851063829787,0.8506848568522017,0.5864325068870524,0.6495255586164677,0.69,0.7972972972972973,0.7363636363636364,0.5623287671232877,0.6043123543123543,0.875
BRM_cos_stand,0.6513687600644122,0.7591160220994476,0.6682692307692308,0.6486486486486487,0.5857142857142856,0.8295880149812733,0.6167883211678833,0.7740249296340973,0.7708333333333333,0.6579783852511125,0.7647058823529411,0.581081081081081,0.577817005001471,0.5951923076923078,0.7968008255933953,0.5637019230769231,0.9105113636363636,0.6481481481481481,0.8061643835616438,0.5222486724043216,0.75,0.6931818181818181,0.7083333333333333,0.5737704918032787,0.6571428571428571,0.6458333333333334,0.78125,0.7926829268292683,0.8183479532163743,0.9965986394557824,0.7641975308641975,0.775,0.6060606060606061,0.6616766467065869,0.73046875,0.6858974358974359,0.87312734082397,0.5142045454545454,0.5545454545454546,0.7416666666666667,0.8522108843537415,0.6379585326953747,0.5005773672055427,0.6647421093148576,0.5779569892473119,0.625,0.5,0.6442048517520216,0.8723404255319149,0.7808641975308642,0.6000000000000001,0.5151867461124837,0.570018365472911,0.5988292011019284,0.725,0.7027027027027027,0.5727272727272728,0.7178082191780821,0.6019813519813519,0.7222222222222222
BRM_man,0.856682769726248,0.6077348066298343,0.8269230769230769,0.8513513513513513,0.5142857142857142,0.7865168539325843,0.5766423357664233,0.6302774427020507,1.0,0.6557533375715194,0.8823529411764706,0.7567567567567568,0.5380994410120623,0.6071153846153846,0.7374613003095976,0.6225961538461539,0.9730113636363636,0.5300925925925926,0.8363013698630137,0.621681010803882,0.8310810810810811,0.9772727272727272,0.6440217391304347,0.5105386416861827,0.8571428571428572,0.6354166666666667,0.80859375,0.9878048780487804,0.758650097465887,0.7448979591836734,0.6141975308641975,0.875,0.8484848484848485,0.6616766467065869,0.7109375,0.6346153846153846,0.9782303370786516,0.7784090909090909,0.8818181818181818,0.875,0.7683248299319728,0.6124401913875598,0.7176674364896074,0.6801385681293303,0.739247311827957,0.915,0.7905405405405406,0.610512129380054,0.9680851063829788,0.890652557319224,0.6680851063829787,0.5191378433367244,0.5258264462809917,0.7821013161922253,0.985,0.6148648648648648,0.8181818181818181,0.91986301369863,0.6328671328671329,0.7708333333333334
BRM_man_minmax,0.8397745571658615,0.7814917127071823,0.7115384615384616,0.8716216216216216,0.5785714285714285,0.7715355805243446,0.864963503649635,0.5201045436268597,0.5208333333333334,0.6983471074380165,0.7352941176470588,0.8243243243243243,0.5363342159458664,0.6592307692307693,0.7947884416924664,0.5492788461538461,0.6704545454545454,0.5023148148148149,0.5506849315068493,0.656106940120857,0.7635135135135135,1.0,0.5507246376811594,0.5105386416861827,0.6285714285714286,0.9791666666666666,0.61328125,0.5365853658536586,0.6293859649122807,0.8163265306122449,0.648148148148148,0.575,0.6666666666666667,0.6137724550898204,0.74609375,0.6153846153846154,0.9784644194756554,0.5596590909090908,0.8181818181818181,0.5,0.7170918367346939,0.7049441786283891,0.8511836027713626,0.7274826789838338,0.521505376344086,0.5249999999999999,0.6756756756756757,0.5206648697214735,0.9893617021276596,0.8765432098765432,0.6212765957446809,0.7681296323208836,0.5510789715335169,0.7411233547597184,0.735,0.7567567567567568,0.759090909090909,0.5773972602739725,0.5728438228438228,0.7430555555555556
BRM_man_stand,0.8510466988727858,0.6403314917127072,0.8509615384615384,0.8243243243243243,0.6142857142857143,0.8707865168539326,0.8978102189781021,0.6224366706875755,1.0,0.6675143038779403,0.8823529411764706,0.8153153153153154,0.6063548102383054,0.5532692307692307,0.6647058823529413,0.5877403846153846,0.994318181818182,0.5023148148148148,0.7986301369863014,0.5746200329609962,0.7837837837837838,0.9772727272727272,0.5108695652173914,0.5550351288056206,0.8142857142857143,0.9583333333333334,0.859375,0.8780487804878049,0.7515838206627681,0.6428571428571428,0.5564814814814815,0.575,0.7575757575757576,0.6392215568862276,0.779296875,0.6282051282051283,0.9822097378277154,0.8039772727272727,0.9818181818181818,0.7666666666666667,0.8540816326530613,0.6634768740031898,0.8345842956120093,0.9364896073903002,0.7096774193548387,0.825,0.75,0.5808625336927223,0.9893617021276596,0.9065255731922398,0.825531914893617,0.8731561546286877,0.5210055096418733,0.8175313743495561,0.95,0.6081081081081081,0.8136363636363637,0.6280821917808219,0.7762237762237763,0.6944444444444444
ocSVM,0.7310789049919485,0.7903314917127071,0.7019230769230769,0.8648648648648649,0.9357142857142856,0.6956928838951311,0.5364963503649636,0.7404503417772416,0.9791666666666669,0.7619198982835347,0.7058823529411764,0.8648648648648649,0.5401588702559577,0.5846153846153846,0.8698658410732714,0.6069711538461539,0.9460227272727272,0.5949074074074074,0.8123287671232876,0.6258011353232009,0.8445945945945946,0.9545454545454546,0.5516304347826086,0.7142857142857143,0.6285714285714286,0.6145833333333334,0.6640625,0.902439024390244,0.7142422027290449,0.9829931972789115,0.9864197530864196,0.5,0.8787878787878788,0.6796407185628742,0.708984375,0.7820512820512819,0.9726123595505618,0.8607954545454546,0.5909090909090908,0.8166666666666667,0.6967687074829932,0.5342902711323765,0.9245092378752888,0.991916859122402,0.6612903225806452,0.88,0.7162162162162162,0.6531895777178797,0.8936170212765957,0.5573192239858906,0.651063829787234,0.5248510390931551,0.5167584940312213,0.6963192531374349,0.97,0.8040540540540541,0.8272727272727273,0.7643835616438356,0.5273892773892774,0.7604166666666666
